support,itemsets
0.061982863482642925,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Small'})"
0.06840571573699054,"frozenset({'Softdrinks_High', 'Family Size_Small', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.05533277191856813,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
0.053775514296025985,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.16120623972410475,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.1488818489259601,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Tea (total)  expenditure_Low'})"
0.13072275467511463,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.1351539212147946,"frozenset({'Softdrinks_High', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Medium'})"
0.12597077969817272,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'NPCINC_Medium'})"
0.09762601756426194,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'NPCINC_Medium'})"
0.08337009263343625,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'NPCINC_Medium'})"
0.07948029033163573,"frozenset({'Softdrinks_High', 'NPCINC_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.1106789108553555,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Medium'})"
0.08315622034192832,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Medium'})"
0.07661974843271711,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Tea (total)  expenditure_Low', 'NPCINC_Medium'})"
0.0673430377885605,"frozenset({'Softdrinks_High', 'NPCINC_Medium', 'Other Non Alcoholic Beverages_Low', 'Family Size_Medium', 'Tea (total)  expenditure_Low'})"
0.0748352515004478,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Medium'})"
0.07343171458742698,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Tea (total)  expenditure_Low', 'NPCINC_Medium'})"
0.06653433318629613,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'NPCINC_Medium', 'Other Non Alcoholic Beverages_Low', 'Tea (total)  expenditure_Low'})"
0.0659127668391012,"frozenset({'Softdrinks_High', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.05940302896632848,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'NPCINC_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.051650158399165896,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'NPCINC_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.051369451016561735,"frozenset({'Softdrinks_High', 'Food Not Elsewhere Classified (Total)_High', 'NPCINC_Medium', 'Other Non Alcoholic Beverages_Low', 'Tea (total)  expenditure_Low'})"
0.1311839168036786,"frozenset({'Softdrinks_High', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.1167742711633316,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.09333520471588402,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Food Not Elsewhere Classified (Total)_High'})"
0.07608506770394728,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.10027268717167262,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.07659301439627862,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.06797128764486506,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Tea (total)  expenditure_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.05855422330940637,"frozenset({'Softdrinks_High', 'Food Not Elsewhere Classified (Total)_High', 'Other Non Alcoholic Beverages_Low', 'Family Size_Medium', 'Tea (total)  expenditure_Low'})"
0.06733635427945088,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.0641015358703934,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Tea (total)  expenditure_Low', 'Food Not Elsewhere Classified (Total)_High'})"
0.057411343251660855,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Food Not Elsewhere Classified (Total)_High', 'Other Non Alcoholic Beverages_Low', 'Tea (total)  expenditure_Low'})"
0.08251460346740452,"frozenset({'Softdrinks_High', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Low'})"
0.08000828755129594,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'NPCINC_Low'})"
0.061802408736683107,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'NPCINC_Low'})"
0.05030008955902207,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'NPCINC_Low'})"
0.06934140701233776,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Low'})"
0.05134271698012324,"frozenset({'Softdrinks_High', 'Family Size_Medium', 'Other Non Alcoholic Beverages_Low', 'NPCINC_Low'})"
