antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Entrep. Activities_Low'}),frozenset({'Other Income NEC_Low'}),0.9556682840758712,0.9574527810081405,0.9157008996003262,0.9581786011511375,1.000758074087197,1.0,0.0006936432906057277,1.0173552335162215,0.017087086082773754,0.9180693666407569,0.01705916767758467,0.9572856762945614
frozenset({'Other Income NEC_Low'}),frozenset({'Entrep. Activities_Low'}),0.9574527810081405,0.9556682840758712,0.9157008996003262,0.9563927514379852,1.000758074087197,1.0,0.0006936432906057277,1.0166134618900267,0.017803745206886285,0.9180693666407569,0.016341965272759607,0.9572856762945614
frozenset({'Livestocks_Low'}),frozenset({'Other Income NEC_Low'}),0.8448222854927752,0.9574527810081405,0.8109235272887677,0.9598746875098889,1.0025295310116478,1.0,0.002046080586056931,1.0603585704745684,0.016259735729168338,0.8179979504881074,0.056922792115081076,0.9034169885865746
frozenset({'Other Income NEC_Low'}),frozenset({'Livestocks_Low'}),0.9574527810081405,0.8448222854927752,0.8109235272887677,0.8469592896632603,1.0025295310116478,1.0,0.002046080586056931,1.0139636320674612,0.05930231607914388,0.8179979504881074,0.013771334223289055,0.9034169885865746
"frozenset({'Entrep. Activities_Low', 'Livestocks_Low'})",frozenset({'Other Income NEC_Low'}),0.8050955073451765,0.9574527810081405,0.7734023071473446,0.9606342354308484,1.0033228316694198,1.0,0.002561374662545579,1.080817798346561,0.016992050724866748,0.7818889444451951,0.07477467383512415,0.8842024698123695
frozenset({'Other Income NEC_Low'}),"frozenset({'Entrep. Activities_Low', 'Livestocks_Low'})",0.9574527810081405,0.8050955073451765,0.7734023071473446,0.8077707041938906,1.0033228316694198,1.0,0.002561374662545579,1.013916696919144,0.07783886007517489,0.7818889444451951,0.013725680779723599,0.8842024698123695
frozenset({'Farming_Low'}),frozenset({'Other Income NEC_Low'}),0.7226276884415394,0.9574527810081405,0.6940957880525591,0.9605164584123344,1.0031998208840838,1.0,0.0022138981207231456,1.0775937841693248,0.011499398301402845,0.7039620403321472,0.07200652538019121,0.842728213011383
frozenset({'Other Income NEC_Low'}),frozenset({'Farming_Low'}),0.9574527810081405,0.7226276884415394,0.6940957880525591,0.7249399676104317,1.0031998208840835,1.0,0.0022138981207231456,1.008406452761619,0.07496646699756815,0.7039620403321472,0.008336373432158413,0.842728213011383
frozenset({'Farming_Low'}),frozenset({'Livestocks_Low'}),0.7226276884415394,0.8448222854927752,0.6425926668538049,0.8892444575984313,1.0525816764880263,1.0,0.03210069154426254,1.4010830622326216,0.1801007483933053,0.694801956944334,0.2862664413296788,0.824934560687447
frozenset({'Livestocks_Low'}),frozenset({'Farming_Low'}),0.8448222854927752,0.7226276884415394,0.6425926668538049,0.7606246637764628,1.0525816764880265,1.0,0.03210069154426254,1.1587338776599794,0.32192097334268954,0.694801956944334,0.1369890711925474,0.824934560687447
