antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Total Non-Food Expenditure_Medium'}),"frozenset({'NPCINC_Medium', 'Family Size_Small'})",0.3299982622876315,0.1715188942802529,0.06939487508521475,0.21028860759493673,1.2260375655835103,1.0,0.012793938023235307,1.0490935216175759,0.27516989311081397,0.16059082824220866,0.04679613457328328,0.30743943686842656
frozenset({'Family Size_Small'}),"frozenset({'Total Non-Food Expenditure_Medium', 'NPCINC_Medium'})",0.3852909331515419,0.15147505046049378,0.06939487508521475,0.18011032472939217,1.1890428435695868,1.0,0.011032911544114204,1.0349257651762076,0.25863846790062106,0.14847917173132752,0.03374712114763241,0.31911887574274056
frozenset({'NPCINC_Medium'}),"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Small'})",0.4141703760142225,0.11570490970579193,0.06939487508521475,0.16755151769433105,1.4480934138436459,1.0,0.02147332912567524,1.062282062002128,0.52820274420963,0.15070103631455198,0.058630437460971956,0.38365445570483653
"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})","frozenset({'Hhld, Food_High'})",0.17283554557484862,0.340003475424737,0.05924930825680715,0.3428074245939675,1.0082468250235612,1.0,0.0004846220844280935,1.0042665563704796,0.009888446169167267,0.1306231305347223,0.004248430203530172,0.2585341573355118
"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",frozenset({'Family Size_Medium'}),0.09868869551269198,0.49951878734410715,0.05924930825680715,0.6003657049979683,1.2018881375614607,1.0,0.009952450749735428,1.2523480064526205,0.1863682532283355,0.10993303571428571,0.2014999066971944,0.35948923872304384
frozenset({'Family Size_Medium'}),"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",0.49951878734410715,0.09868869551269198,0.05924930825680715,0.11861277244811945,1.2018881375614607,1.0,0.009952450749735428,1.0226053615398627,0.3356286093954624,0.10993303571428571,0.022105655211726055,0.35948923872304384
"frozenset({'Hhld, Food_High'})","frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})",0.340003475424737,0.17283554557484862,0.05924930825680715,0.1742608900770561,1.008246825023561,1.0,0.0004846220844280935,1.001726143869267,0.012393051896592197,0.1306231305347223,0.0017231694309181292,0.2585341573355118
"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",frozenset({'NPCINC_Medium'}),0.09868869551269198,0.4141703760142225,0.04726577642325327,0.47893810104293655,1.1563794244581362,1.0,0.006391842294408513,1.1242994837241995,0.15003909524609058,0.10151730473852692,0.1105572719045127,0.2965298389802138
frozenset({'NPCINC_Medium'}),"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",0.4141703760142225,0.09868869551269198,0.04726577642325327,0.114121576917491,1.1563794244581362,1.0,0.006391842294408513,1.017420992545567,0.23083833101555898,0.10151730473852692,0.017122698148757484,0.2965298389802138
"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",frozenset({'NPCINC_Low'}),0.09868869551269198,0.37697664781917095,0.04334255657590461,0.43918461330082625,1.1650180875699636,1.0,0.006139222963883133,1.1109241418068014,0.15715350207187517,0.10025508232202211,0.09984852937518751,0.2770793643058986
"frozenset({'Hhld, Food_High', 'NPCINC_Low'})",frozenset({'Total Non-Food Expenditure_Medium'}),0.08272179224980283,0.3299982622876315,0.04334255657590461,0.5239557243273815,1.5877529799556753,1.0,0.016044508880151215,1.4074357616541047,0.4035625219075242,0.11733946116127165,0.2894879984968275,0.3276487482396401
frozenset({'Total Non-Food Expenditure_Medium'}),"frozenset({'Hhld, Food_High', 'NPCINC_Low'})",0.3299982622876315,0.08272179224980283,0.04334255657590461,0.13134177215189874,1.5877529799556753,1.0,0.016044508880151215,1.0559713571384004,0.5525046965914008,0.11733946116127165,0.05300461680142368,0.3276487482396401
frozenset({'NPCINC_Low'}),"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",0.37697664781917095,0.09868869551269198,0.04334255657590461,0.11497411531097086,1.1650180875699636,1.0,0.006139222963883133,1.0184010660931133,0.22734978947633286,0.10025508232202211,0.018068584868734673,0.2770793643058986
"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})","frozenset({'Hhld, Food_High'})",0.07826389167368435,0.340003475424737,0.03535576318990523,0.4517506404782238,1.3286647729523666,1.0,0.008745768020587411,1.2038254365695218,0.2683682512647993,0.09233400823849752,0.16931477802159792,0.2778685581696041
"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",frozenset({'Family Size_Medium'}),0.04726577642325327,0.49951878734410715,0.03535576318990523,0.7480203619909502,1.4974819385034581,1.0,0.011745619868084065,1.9861970459609846,0.3486935861061584,0.06913134956417193,0.49652528079550706,0.4094000042470573
"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'Hhld, Food_High'})",frozenset({'NPCINC_Medium'}),0.05924930825680715,0.4141703760142225,0.03535576318990523,0.5967287084038353,1.4407807582629806,1.0,0.01081645491060083,1.4526935990584382,0.3251997338775256,0.08070914195044551,0.3116235931319937,0.3410469858403175
"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium'})","frozenset({'Family Size_Medium', 'Hhld, Food_High'})",0.15147505046049378,0.20583203004905695,0.03535576318990523,0.23340981291916696,1.1339819796925545,1.0,0.004177346051838456,1.0359746098174383,0.13924372113475397,0.10981710987938802,0.034725377896836516,0.20258989525719365
"frozenset({'NPCINC_Medium', 'Family Size_Medium'})","frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",0.2106241060806566,0.09868869551269198,0.03535576318990523,0.16786190264644285,1.7009233101561745,1.0,0.014569544917278375,1.0831270763275254,0.5220377517408533,0.1290558672847036,0.07674729784189115,0.26305867717991926
"frozenset({'NPCINC_Medium', 'Hhld, Food_High'})","frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})",0.16541016695405755,0.17283554557484862,0.03535576318990523,0.21374600993979556,1.2367016821041026,1.0,0.006767006740773896,1.0520321230570981,0.22933128413856008,0.11672808314393522,0.049458682788029375,0.20915452082449948
"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})","frozenset({'NPCINC_Medium', 'Hhld, Food_High'})",0.17283554557484862,0.16541016695405755,0.03535576318990523,0.2045630317092034,1.2367016821041024,1.0,0.006767006740773896,1.04922183191872,0.2313899698149223,0.11672808314393522,0.046912702749148584,0.20915452082449948
"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})","frozenset({'NPCINC_Medium', 'Family Size_Medium'})",0.09868869551269198,0.2106241060806566,0.03535576318990523,0.3582554517133957,1.7009233101561745,1.0,0.014569544917278375,1.2300469026607244,0.45720497999798826,0.1290558672847036,0.1870228705613649,0.26305867717991926
"frozenset({'Family Size_Medium', 'Hhld, Food_High'})","frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium'})",0.20583203004905695,0.15147505046049378,0.03535576318990523,0.17176997759522034,1.1339819796925545,1.0,0.004177346051838456,1.024503974241117,0.14877428443363006,0.10981710987938802,0.023917890859591805,0.20258989525719365
frozenset({'NPCINC_Medium'}),"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'Hhld, Food_High'})",0.4141703760142225,0.05924930825680715,0.03535576318990523,0.08536526327679969,1.4407807582629806,1.0,0.01081645491060083,1.0285534257244116,0.5222198777155245,0.08070914195044551,0.027760760900000167,0.3410469858403175
frozenset({'Family Size_Medium'}),"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})",0.49951878734410715,0.04726577642325327,0.03535576318990523,0.07077964650316435,1.497481938503458,1.0,0.011745619868084065,1.0253049451525937,0.6637857818120654,0.06913134956417193,0.02468040876251459,0.4094000042470573
"frozenset({'Hhld, Food_High'})","frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})",0.340003475424737,0.07826389167368435,0.03535576318990523,0.10398647586098443,1.3286647729523666,1.0,0.008745768020587411,1.0287078079675382,0.3747969849967696,0.09233400823849752,0.027906668682001663,0.2778685581696041
"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High', 'NPCINC_Low'})",frozenset({'Family Size_Medium'}),0.04334255657590461,0.49951878734410715,0.02200211198887864,0.50763299922899,1.016244057461833,1.0,0.0003516906876894106,1.0164800075394504,0.01670859926352024,0.042241954524457226,0.01621282014128623,0.2758398073922282
"frozenset({'Family Size_Medium', 'Hhld, Food_High', 'NPCINC_Low'})",frozenset({'Total Non-Food Expenditure_Medium'}),0.03923888198259614,0.3299982622876315,0.02200211198887864,0.5607221938340998,1.6991671105994062,1.0,0.00905334912051246,1.5252346654165627,0.42828166114801935,0.06336374485121453,0.34436318379448444,0.3136978057778094
"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})","frozenset({'Hhld, Food_High', 'NPCINC_Low'})",0.17283554557484862,0.08272179224980283,0.02200211198887864,0.12730085073472544,1.5389034409494295,1.0,0.007704845894454682,1.0510818172819967,0.42335795296200446,0.0942051795678924,0.04859927785078575,0.19663903326911597
"frozenset({'Hhld, Food_High', 'NPCINC_Low'})","frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})",0.08272179224980283,0.17283554557484862,0.02200211198887864,0.26597721580350653,1.5389034409494298,1.0,0.007704845894454682,1.1268920696114584,0.3817671097270108,0.0942051795678924,0.11260356961710584,0.19663903326911597
frozenset({'Total Non-Food Expenditure_Medium'}),"frozenset({'Family Size_Medium', 'Hhld, Food_High', 'NPCINC_Low'})",0.3299982622876315,0.03923888198259614,0.02200211198887864,0.06667341772151898,1.6991671105994062,1.0,0.00905334912051246,1.0293943580519782,0.614142239385607,0.06336374485121453,0.02855500209618795,0.3136978057778094
frozenset({'Family Size_Medium'}),"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High', 'NPCINC_Low'})",0.49951878734410715,0.04334255657590461,0.02200211198887864,0.04404661555546636,1.016244057461833,1.0,0.0003516906876894106,1.0007364992802144,0.031938073698736656,0.042241954524457226,0.0007359572482306278,0.2758398073922282
"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})",frozenset({'NPCINC_Medium'}),0.17283554557484862,0.4141703760142225,0.07826389167368435,0.45282289249806645,1.0933251596983282,1.0,0.006680528774325997,1.0706398640475054,0.10319473407065921,0.15383806933879843,0.06597910877375215,0.3208941714826178
"frozenset({'Total Non-Food Expenditure_Medium', 'NPCINC_Medium'})",frozenset({'Family Size_Medium'}),0.15147505046049378,0.49951878734410715,0.07826389167368435,0.5166784327567949,1.0343523523988436,1.0,0.0025992581547710503,1.035503578933098,0.03914022872118819,0.13665060156605555,0.034286292829309326,0.3366785037651701
"frozenset({'Family Size_Medium', 'NPCINC_Medium'})",frozenset({'Total Non-Food Expenditure_Medium'}),0.2106241060806566,0.3299982622876315,0.07826389167368435,0.3715808846861712,1.126008610197758,1.0,0.008758302671181911,1.0661702061334872,0.1417668372073127,0.16927102155278334,0.06206345455239859,0.3043727208240982
