antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NPCINC_Low'}),frozenset({'Necessities Total_Medium'}),0.37697664781917095,0.329971528251193,0.12924569916188797,0.34284802496276867,1.039023053836855,1.0,0.0048541385659843506,1.0195943970355505,0.06028256791351153,0.22372363686847072,0.01921783514358332,0.36726772640251215
"frozenset({'Necessities Total_Medium', 'Non-Necessities Total_Low'})",frozenset({'NPCINC_Medium'}),0.09696435016240927,0.4141703760142225,0.041838767026239454,0.43148607664736693,1.0418081582748202,1.0,0.0016790056594996675,1.0304578303571361,0.04443942048510817,0.0891521996097811,0.02955757087757788,0.26625216385419065
"frozenset({'NPCINC_Medium', 'Non-Necessities Total_Low'})",frozenset({'Necessities Total_Medium'}),0.11637994412586385,0.329971528251193,0.041838767026239454,0.35950152185149026,1.0894925503324557,1.0,0.003436699005239706,1.0461047053314783,0.09296020119369024,0.10343004427995504,0.04407274443610211,0.24314830199236317
frozenset({'Necessities Total_Medium'}),"frozenset({'NPCINC_Medium', 'Non-Necessities Total_Low'})",0.329971528251193,0.11637994412586385,0.041838767026239454,0.1267950821332361,1.0894925503324557,1.0,0.003436699005239706,1.0119274843673767,0.12259404135237148,0.10343004427995504,0.011786896345476104,0.24314830199236317
frozenset({'NPCINC_Medium'}),"frozenset({'Necessities Total_Medium', 'Non-Necessities Total_Low'})",0.4141703760142225,0.09696435016240927,0.041838767026239454,0.10101825106101436,1.0418081582748202,1.0,0.0016790056594996675,1.004509436263183,0.06850179525429713,0.0891521996097811,0.004489192535570638,0.26625216385419065
"frozenset({'Necessities Total_Medium', 'NPCINC_Low'})",frozenset({'Non-Necessities Total_Low'}),0.12924569916188797,0.3300049457967411,0.043068532702410074,0.33322991002171887,1.0097724724009565,1.0,0.000416812756029325,1.0048366959967907,0.011114381434124593,0.1034848241528826,0.004813414971865429,0.23186932960580436
"frozenset({'Necessities Total_Medium', 'Non-Necessities Total_Low'})",frozenset({'NPCINC_Low'}),0.09696435016240927,0.37697664781917095,0.043068532702410074,0.44416873449131516,1.17823938713672,1.0,0.006515237020220742,1.120885763075331,0.16751945367383955,0.09995656759942918,0.10784842403891481,0.2792079755003913
frozenset({'NPCINC_Low'}),"frozenset({'Necessities Total_Medium', 'Non-Necessities Total_Low'})",0.37697664781917095,0.09696435016240927,0.043068532702410074,0.11424721650946743,1.17823938713672,1.0,0.006515237020220742,1.0195120655212064,0.24280958037811537,0.09995656759942918,0.01913863129342285,0.2792079755003913
frozenset({'Non-Necessities Total_Low'}),"frozenset({'Necessities Total_Medium', 'NPCINC_Low'})",0.3300049457967411,0.12924569916188797,0.043068532702410074,0.13050874918988983,1.0097724724009565,1.0,0.000416812756029325,1.0014526310952814,0.014444726680002079,0.1034848241528826,0.0014505240189869458,0.23186932960580436
"frozenset({'Non-Necessities Total_High', 'Necessities Total_Medium'})",frozenset({'NPCINC_Medium'}),0.1019301974308591,0.4141703760142225,0.051576639798960044,0.5059996065831749,1.2217184904740723,1.0,0.009360171601817194,1.1858889826661922,0.20207876203703837,0.11103117851028012,0.1567507459663422,0.3152648067610641
frozenset({'NPCINC_Medium'}),"frozenset({'Non-Necessities Total_High', 'Necessities Total_Medium'})",0.4141703760142225,0.1019301974308591,0.051576639798960044,0.12453000693895334,1.2217184904740723,1.0,0.009360171601817194,1.025814487860486,0.30978432379586424,0.11103117851028012,0.025164869638687495,0.3152648067610641
"frozenset({'Non-Necessities Total_High', 'NPCINC_Low'})",frozenset({'Necessities Total_Medium'}),0.0558206680835706,0.329971528251193,0.02700137680287658,0.4837164750957854,1.465933978181151,1.0,0.008582145647338196,1.2977916966711585,0.33663206541507823,0.07525659892330905,0.22946031896720834,0.2827729445621318
frozenset({'Necessities Total_Medium'}),"frozenset({'Non-Necessities Total_High', 'NPCINC_Low'})",0.329971528251193,0.0558206680835706,0.02700137680287658,0.08182941402847825,1.465933978181151,1.0,0.008582145647338196,1.028326703493107,0.4743694514886445,0.07525659892330905,0.027546404656112213,0.2827729445621318
"frozenset({'Non-Necessities Total_Medium', 'Necessities Total_Medium'})",frozenset({'NPCINC_Medium'}),0.13107698065792464,0.4141703760142225,0.0587079440189277,0.4478890475219253,1.081412562221845,1.0,0.0044197416530260755,1.0610722742527765,0.08664005318912688,0.12066431308982511,0.057557129457354674,0.2948186705117574
"frozenset({'Non-Necessities Total_Medium', 'NPCINC_Medium'})",frozenset({'Necessities Total_Medium'}),0.13982569408242104,0.329971528251193,0.0587079440189277,0.4198652072080684,1.2724285923494685,1.0,0.012569446053767426,1.1549530903400174,0.24890453029542808,0.14281069129218962,0.1341639687672503,0.2988917091518254
"frozenset({'Necessities Total_Medium', 'NPCINC_Medium'})",frozenset({'Non-Necessities Total_Medium'}),0.1521233508441272,0.3300049457967411,0.0587079440189277,0.3859232898378806,1.169446987850846,1.0,0.008506485869192872,1.0910608448680243,0.1708915695906234,0.13865168184616355,0.08346083107678484,0.2819117421321613
frozenset({'Non-Necessities Total_Medium'}),"frozenset({'Necessities Total_Medium', 'NPCINC_Medium'})",0.3300049457967411,0.1521233508441272,0.0587079440189277,0.177900194426442,1.169446987850846,1.0,0.008506485869192872,1.0313548834430522,0.216262747738923,0.13865168184616355,0.030401643456011738,0.2819117421321613
frozenset({'Necessities Total_Medium'}),"frozenset({'Non-Necessities Total_Medium', 'NPCINC_Medium'})",0.329971528251193,0.13982569408242104,0.0587079440189277,0.17791821109558242,1.2724285923494685,1.0,0.012569446053767426,1.0463366510817944,0.31954057269804687,0.14281069129218962,0.04428464876374878,0.2988917091518254
frozenset({'NPCINC_Medium'}),"frozenset({'Non-Necessities Total_Medium', 'Necessities Total_Medium'})",0.4141703760142225,0.13107698065792464,0.0587079440189277,0.1417482935015895,1.081412562221845,1.0,0.0044197416530260755,1.012433779930602,0.12850756180756376,0.12066431308982511,0.012281079688445672,0.2948186705117574
"frozenset({'Non-Necessities Total_Medium', 'Necessities Total_Medium'})",frozenset({'NPCINC_Low'}),0.13107698065792464,0.37697664781917095,0.0591757896566013,0.4514582908423414,1.1975762781436212,1.0,0.00976282888191856,1.1357811845111005,0.18986736037941304,0.13183049938953575,0.11954871797735211,0.3042164867444811
"frozenset({'Non-Necessities Total_Medium', 'NPCINC_Low'})",frozenset({'Necessities Total_Medium'}),0.14339468794695967,0.329971528251193,0.0591757896566013,0.41267769750640876,1.2506463805939496,1.0,0.011859625331640089,1.140819050977752,0.23396244099014915,0.14287097398825277,0.123436798199558,0.2960068724918364
"frozenset({'Necessities Total_Medium', 'NPCINC_Low'})",frozenset({'Non-Necessities Total_Medium'}),0.12924569916188797,0.3300049457967411,0.0591757896566013,0.45785500051711653,1.3874186018991415,1.0,0.01652406971022055,1.2358226209636225,0.3206840267502835,0.147911794186435,0.1908223858046407,0.3185864438748901
frozenset({'Non-Necessities Total_Medium'}),"frozenset({'Necessities Total_Medium', 'NPCINC_Low'})",0.3300049457967411,0.12924569916188797,0.0591757896566013,0.17931788723266365,1.3874186018991415,1.0,0.01652406971022055,1.061012890730532,0.41677471162075236,0.147911794186435,0.05750438214612385,0.3185864438748901
frozenset({'Necessities Total_Medium'}),"frozenset({'Non-Necessities Total_Medium', 'NPCINC_Low'})",0.329971528251193,0.14339468794695967,0.0591757896566013,0.17933604747726398,1.2506463805939496,1.0,0.011859625331640089,1.0437954651472383,0.29911187094776565,0.14287097398825277,0.04195789942530597,0.2960068724918364
frozenset({'NPCINC_Low'}),"frozenset({'Non-Necessities Total_Medium', 'Necessities Total_Medium'})",0.37697664781917095,0.13107698065792464,0.0591757896566013,0.15697468264662082,1.1975762781436212,1.0,0.00976282888191856,1.0307199575808712,0.26480567618837014,0.13183049938953575,0.029804368640509955,0.3042164867444811
frozenset({'NPCINC_High'}),frozenset({'Necessities Total_High'}),0.2088529761666065,0.340003475424737,0.1415968239964711,0.6779736951582451,1.9940198973299055,1.0,0.07058608624702513,2.0495112189657556,0.6300984212862797,0.3476819561828177,0.5120787870072602,0.5472153426255135
frozenset({'Necessities Total_High'}),frozenset({'NPCINC_High'}),0.340003475424737,0.2088529761666065,0.1415968239964711,0.41645699009278186,1.9940198973299053,1.0,0.07058608624702513,1.3557647172556895,0.7553077511181853,0.3476819561828177,0.2624088919910977,0.5472153426255135
frozenset({'NPCINC_High'}),frozenset({'Non-Necessities Total_High'}),0.2088529761666065,0.3399901084065178,0.12620470251700952,0.6042753368107779,1.777332110169102,1.0,0.05519675650910111,1.6678512940647523,0.5528162774412541,0.2986115503826934,0.40042616295672206,0.4877382188280349
frozenset({'Non-Necessities Total_High'}),frozenset({'NPCINC_High'}),0.3399901084065178,0.2088529761666065,0.12620470251700952,0.37120110084529184,1.7773321101691018,1.0,0.05519675650910111,1.258187673192382,0.662655148346905,0.2986115503826934,0.20520601075138972,0.4877382188280349
"frozenset({'NPCINC_High', 'Necessities Total_Medium'})",frozenset({'Non-Necessities Total_High'}),0.04860247824517785,0.3399901084065178,0.02335218082902247,0.48047304730473045,1.4131971355185449,1.0,0.006827818981619032,1.270405487471626,0.3073212123990366,0.06393646611037915,0.2128497476894481,0.2745789651699591
"frozenset({'Non-Necessities Total_High', 'Necessities Total_Medium'})",frozenset({'NPCINC_High'}),0.1019301974308591,0.2088529761666065,0.02335218082902247,0.2290997311651695,1.0969426214085247,1.0,0.0020637557343377577,1.0262637799169076,0.09840581316999478,0.08124447751476538,0.02559164654435548,0.17045565456783227
frozenset({'NPCINC_High'}),"frozenset({'Non-Necessities Total_High', 'Necessities Total_Medium'})",0.2088529761666065,0.1019301974308591,0.02335218082902247,0.11181157797049505,1.0969426214085247,1.0,0.0020637557343377577,1.0111253201399057,0.11170526658499293,0.08124447751476538,0.011002909252006839,0.17045565456783227
frozenset({'Non-Necessities Total_High'}),"frozenset({'NPCINC_High', 'Necessities Total_Medium'})",0.3399901084065178,0.04860247824517785,0.02335218082902247,0.06868488303518773,1.4131971355185449,1.0,0.006827818981619032,1.0215634906211541,0.4430003907262927,0.06393646611037915,0.02110832152785991,0.2745789651699591
"frozenset({'NPCINC_High', 'Non-Necessities Total_High'})",frozenset({'Necessities Total_High'}),0.12620470251700952,0.340003475424737,0.09823421689323762,0.7783720807075147,2.2893062482233795,1.0,0.05532417942250933,2.977948476357155,0.644529041251086,0.2669596963147284,0.664198354021466,0.5336466473674387
"frozenset({'NPCINC_High', 'Necessities Total_High'})",frozenset({'Non-Necessities Total_High'}),0.1415968239964711,0.3399901084065178,0.09823421689323762,0.6937600302086283,2.0405300420655665,1.0,0.05009269735265879,2.155204926525819,0.5940463266111251,0.2562502179294954,0.536006999755705,0.4913463017172491
"frozenset({'Non-Necessities Total_High', 'Necessities Total_High'})",frozenset({'NPCINC_High'}),0.20200237932924303,0.2088529761666065,0.09823421689323762,0.48630227633668605,2.328443124261501,1.0,0.05604541877758942,1.540102257396656,0.7149501058344925,0.3142276857295564,0.35069246525852715,0.47832666378516275
frozenset({'NPCINC_High'}),"frozenset({'Non-Necessities Total_High', 'Necessities Total_High'})",0.2088529761666065,0.20200237932924303,0.09823421689323762,0.47035105123363946,2.3284431242615007,1.0,0.05604541877758942,1.506653836525919,0.7211409082850542,0.3142276857295564,0.3362775338588553,0.47832666378516275
frozenset({'Non-Necessities Total_High'}),"frozenset({'NPCINC_High', 'Necessities Total_High'})",0.3399901084065178,0.1415968239964711,0.09823421689323762,0.28893257322586985,2.040530042065567,1.0,0.05009269735265879,1.2072036261002852,0.7726115319651903,0.2562502179294954,0.17163933376312793,0.4913463017172491
frozenset({'Necessities Total_High'}),"frozenset({'NPCINC_High', 'Non-Necessities Total_High'})",0.340003475424737,0.12620470251700952,0.09823421689323762,0.28892121402736276,2.2893062482233795,1.0,0.05532417942250933,1.2288304963110157,0.8533172893582353,0.2669596963147284,0.18621811307415595,0.5336466473674387
"frozenset({'NPCINC_High', 'Non-Necessities Total_Medium'})",frozenset({'Necessities Total_High'}),0.04678456376736041,0.340003475424737,0.028612102498295704,0.6115714285714285,1.798721109563498,1.0,0.012705188221162934,1.6991451533750794,0.46584374072201223,0.07988281614450188,0.41146876238698,0.34786190551074964
"frozenset({'Non-Necessities Total_Medium', 'Necessities Total_High'})",frozenset({'NPCINC_High'}),0.09616901257836415,0.2088529761666065,0.028612102498295704,0.29751893807769825,1.4245376989043288,1.0,0.008526918006300534,1.126218295007786,0.329727437831942,0.10351331092680803,0.11207267327060536,0.21725766098099128
frozenset({'NPCINC_High'}),"frozenset({'Non-Necessities Total_Medium', 'Necessities Total_High'})",0.2088529761666065,0.09616901257836415,0.028612102498295704,0.1369963838842843,1.4245376989043288,1.0,0.008526918006300534,1.0473084591344815,0.37669088897237557,0.10351331092680803,0.04517146665040624,0.21725766098099128
frozenset({'Necessities Total_High'}),"frozenset({'NPCINC_High', 'Non-Necessities Total_Medium'})",0.340003475424737,0.04678456376736041,0.028612102498295704,0.08415238245007076,1.7987211095634983,1.0,0.012705188221162934,1.040801349445748,0.6728057315367578,0.07988281614450188,0.03920186063121038,0.34786190551074964
frozenset({'Non-Necessities Total_High'}),frozenset({'NPCINC_Medium'}),0.3399901084065178,0.4141703760142225,0.15796473780593762,0.4646156870454098,1.1217984528894818,1.0,0.017150906766093876,1.0942226169324947,0.16450401068803855,0.26495448634590374,0.08610918425049116,0.4230080323267843
frozenset({'NPCINC_Medium'}),frozenset({'Non-Necessities Total_High'}),0.4141703760142225,0.3399901084065178,0.15796473780593762,0.38140037760815887,1.121798452889482,1.0,0.017150906766093876,1.066941956804834,0.18533421632420094,0.26495448634590374,0.06274189179447448,0.4230080323267843
frozenset({'Non-Necessities Total_High'}),frozenset({'Necessities Total_High'}),0.3399901084065178,0.340003475424737,0.20200237932924303,0.5941419304108512,1.7474584036784944,1.0,0.08640456086099389,1.6261756856119165,0.6480816696126258,0.4226068961660002,0.38506029277906195,0.5941302512566915
frozenset({'Necessities Total_High'}),frozenset({'Non-Necessities Total_High'}),0.340003475424737,0.3399901084065178,0.20200237932924303,0.5941185721025318,1.7474584036784944,1.0,0.08640456086099389,1.626115033182082,0.6480947953173267,0.4226068961660002,0.385037356156078,0.5941302512566915
"frozenset({'Non-Necessities Total_High', 'Necessities Total_High'})",frozenset({'NPCINC_Medium'}),0.20200237932924303,0.4141703760142225,0.092626752750264,0.45854287983059816,1.1071358706129477,1.0,0.008963351347703805,1.081950171423534,0.1212641382341534,0.17692189853703374,0.07574301810564107,0.34109347996758327
"frozenset({'Non-Necessities Total_High', 'NPCINC_Medium'})",frozenset({'Necessities Total_High'}),0.15796473780593762,0.340003475424737,0.092626752750264,0.5863761370848318,1.7246180685427486,1.0,0.03891819290168786,1.5956442162782674,0.49898322808469797,0.22851536736578287,0.37329387729525776,0.42940248904878486
"frozenset({'Necessities Total_High', 'NPCINC_Medium'})",frozenset({'Non-Necessities Total_High'}),0.16615871997433532,0.3399901084065178,0.092626752750264,0.5574594746792164,1.6396343919884748,1.0,0.0361344315335015,1.4914111902295546,0.46784435779445377,0.22399469873286787,0.32949410159241044,0.41494951323895946
